realtime_start,realtime_end,date,value
2026-01-24,2026-01-24,2025-01-01,.
2026-01-24,2026-01-24,2025-01-02,1.4422
2026-01-24,2026-01-24,2025-01-03,1.4455
2026-01-24,2026-01-24,2025-01-06,1.4359
2026-01-24,2026-01-24,2025-01-07,1.4341
2026-01-24,2026-01-24,2025-01-08,1.4375
2026-01-24,2026-01-24,2025-01-09,1.4394
2026-01-24,2026-01-24,2025-01-10,1.4437
2026-01-24,2026-01-24,2025-01-13,1.4411
2026-01-24,2026-01-24,2025-01-14,1.4369
2026-01-24,2026-01-24,2025-01-15,1.434
2026-01-24,2026-01-24,2025-01-16,1.4377
2026-01-24,2026-01-24,2025-01-17,1.442
2026-01-24,2026-01-24,2025-01-20,.
2026-01-24,2026-01-24,2025-01-21,1.4328
2026-01-24,2026-01-24,2025-01-22,1.4361
2026-01-24,2026-01-24,2025-01-23,1.4359
2026-01-24,2026-01-24,2025-01-24,1.4331
2026-01-24,2026-01-24,2025-01-27,1.4388
2026-01-24,2026-01-24,2025-01-28,1.4392
2026-01-24,2026-01-24,2025-01-29,1.4432
2026-01-24,2026-01-24,2025-01-30,1.4411
2026-01-24,2026-01-24,2025-01-31,1.4459
2026-01-24,2026-01-24,2025-02-03,1.4601
2026-01-24,2026-01-24,2025-02-04,1.4318
2026-01-24,2026-01-24,2025-02-05,1.428
2026-01-24,2026-01-24,2025-02-06,1.4314
2026-01-24,2026-01-24,2025-02-07,1.4311
2026-01-24,2026-01-24,2025-02-10,1.4317
2026-01-24,2026-01-24,2025-02-11,1.4308
2026-01-24,2026-01-24,2025-02-12,1.4288
2026-01-24,2026-01-24,2025-02-13,1.423
2026-01-24,2026-01-24,2025-02-14,1.417
2026-01-24,2026-01-24,2025-02-17,.
2026-01-24,2026-01-24,2025-02-18,1.4189
2026-01-24,2026-01-24,2025-02-19,1.4235
2026-01-24,2026-01-24,2025-02-20,1.4195
2026-01-24,2026-01-24,2025-02-21,1.4196
2026-01-24,2026-01-24,2025-02-24,1.4224
2026-01-24,2026-01-24,2025-02-25,1.43
2026-01-24,2026-01-24,2025-02-26,1.4346
2026-01-24,2026-01-24,2025-02-27,1.4419
2026-01-24,2026-01-24,2025-02-28,1.4433
2026-01-24,2026-01-24,2025-03-03,1.4399
2026-01-24,2026-01-24,2025-03-04,1.4515
2026-01-24,2026-01-24,2025-03-05,1.4375
2026-01-24,2026-01-24,2025-03-06,1.4282
2026-01-24,2026-01-24,2025-03-07,1.4385
2026-01-24,2026-01-24,2025-03-10,1.4431
2026-01-24,2026-01-24,2025-03-11,1.4462
2026-01-24,2026-01-24,2025-03-12,1.4397
2026-01-24,2026-01-24,2025-03-13,1.4398
2026-01-24,2026-01-24,2025-03-14,1.4377
2026-01-24,2026-01-24,2025-03-17,1.4298
2026-01-24,2026-01-24,2025-03-18,1.4312
2026-01-24,2026-01-24,2025-03-19,1.4328
2026-01-24,2026-01-24,2025-03-20,1.4326
2026-01-24,2026-01-24,2025-03-21,1.4356
2026-01-24,2026-01-24,2025-03-24,1.4292
2026-01-24,2026-01-24,2025-03-25,1.4307
2026-01-24,2026-01-24,2025-03-26,1.4254
2026-01-24,2026-01-24,2025-03-27,1.4316
2026-01-24,2026-01-24,2025-03-28,1.4282
2026-01-24,2026-01-24,2025-03-31,1.4379
2026-01-24,2026-01-24,2025-04-01,1.4316
2026-01-24,2026-01-24,2025-04-02,1.431
2026-01-24,2026-01-24,2025-04-03,1.4062
2026-01-24,2026-01-24,2025-04-04,1.4194
2026-01-24,2026-01-24,2025-04-07,1.4224
2026-01-24,2026-01-24,2025-04-08,1.4199
2026-01-24,2026-01-24,2025-04-09,1.4187
2026-01-24,2026-01-24,2025-04-10,1.401
2026-01-24,2026-01-24,2025-04-11,1.3895
2026-01-24,2026-01-24,2025-04-14,1.3892
2026-01-24,2026-01-24,2025-04-15,1.3944
2026-01-24,2026-01-24,2025-04-16,1.3882
2026-01-24,2026-01-24,2025-04-17,1.3856
2026-01-24,2026-01-24,2025-04-18,1.3846
2026-01-24,2026-01-24,2025-04-21,1.3818
2026-01-24,2026-01-24,2025-04-22,1.3798
2026-01-24,2026-01-24,2025-04-23,1.3894
2026-01-24,2026-01-24,2025-04-24,1.3889
2026-01-24,2026-01-24,2025-04-25,1.3858
2026-01-24,2026-01-24,2025-04-28,1.3857
2026-01-24,2026-01-24,2025-04-29,1.3853
2026-01-24,2026-01-24,2025-04-30,1.3807
2026-01-24,2026-01-24,2025-05-01,1.3847
2026-01-24,2026-01-24,2025-05-02,1.379
2026-01-24,2026-01-24,2025-05-05,1.381
2026-01-24,2026-01-24,2025-05-06,1.3774
2026-01-24,2026-01-24,2025-05-07,1.3773
2026-01-24,2026-01-24,2025-05-08,1.3914
2026-01-24,2026-01-24,2025-05-09,1.3925
2026-01-24,2026-01-24,2025-05-12,1.4003
2026-01-24,2026-01-24,2025-05-13,1.3958
2026-01-24,2026-01-24,2025-05-14,1.3963
2026-01-24,2026-01-24,2025-05-15,1.3989
2026-01-24,2026-01-24,2025-05-16,1.3991
2026-01-24,2026-01-24,2025-05-19,1.3944
2026-01-24,2026-01-24,2025-05-20,1.3941
2026-01-24,2026-01-24,2025-05-21,1.3822
2026-01-24,2026-01-24,2025-05-22,1.3856
2026-01-24,2026-01-24,2025-05-23,1.3755
2026-01-24,2026-01-24,2025-05-26,.
2026-01-24,2026-01-24,2025-05-27,1.3776
2026-01-24,2026-01-24,2025-05-28,1.3819
2026-01-24,2026-01-24,2025-05-29,1.3809
2026-01-24,2026-01-24,2025-05-30,1.3747
2026-01-24,2026-01-24,2025-06-02,1.3699
2026-01-24,2026-01-24,2025-06-03,1.3722
2026-01-24,2026-01-24,2025-06-04,1.3668
2026-01-24,2026-01-24,2025-06-05,1.3667
2026-01-24,2026-01-24,2025-06-06,1.3686
2026-01-24,2026-01-24,2025-06-09,1.3675
2026-01-24,2026-01-24,2025-06-10,1.3683
2026-01-24,2026-01-24,2025-06-11,1.3662
2026-01-24,2026-01-24,2025-06-12,1.3615
2026-01-24,2026-01-24,2025-06-13,1.3575
2026-01-24,2026-01-24,2025-06-16,1.3556
2026-01-24,2026-01-24,2025-06-17,1.3587
